Postcode,Positional_quality_indicator,Eastings,Northings,Latitude,Longitude,Country_code,NHS_regional_HA_code,NHS_HA_code,Admin_county_code,Admin_district_code,Admin_ward_code,County,Census_Code,Hectares
CB1 0AH,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0AN,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0AP,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0BD,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0BX,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0FY,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0GJ,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0GL,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0GN,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0GR,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0GT,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0GX,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0HU,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0JH,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0JP,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0JS,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0JU,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0LD,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0LJ,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0LL,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0NB,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0PG,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0PL,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0QF,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0QX,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0QY,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0RL,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0RN,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0RP,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0RW,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0SA,10,544917,258401,52.204788,0.11926696,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SB,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SD,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SE,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SF,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SG,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SH,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SJ,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SL,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SN,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0SP,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SQ,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SR,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SS,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0ST,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SU,10,544914,258405,52.204825,0.1192248,E92000001,E19000001,E18000006,E10000003,E07000008,E05002709,Cambridgeshire,E10000003,305400.769
CB1 0SW,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0SX,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0SY,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0SZ,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TA,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TB,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TD,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TE,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TF,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TG,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TH,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TJ,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TL,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TN,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TP,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TQ,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TR,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TS,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TT,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TU,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TW,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TX,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TY,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0TZ,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UA,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UB,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UD,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UE,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UF,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UG,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UH,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UJ,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UL,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UN,10,531399,260061,52.223089,-0.077782028,E92000001,E19000001,E18000006,E10000003,E07000012,E05002795,Cambridgeshire,E10000003,305400.769
CB1 0UQ,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0UR,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
CB1 0UU,10,546182,257043,52.192254,0.13717936,E92000001,E19000001,E18000006,E10000003,E07000008,E05002706,Cambridgeshire,E10000003,305400.769
